"股票代號","股票名稱","收盤價","漲跌","最高價","最低價","成交量"
"2019","桂宏",24.00,0.00,24.20,24.00,1558
"2020","美亞",26.80,-0.50,27.30,26.70,173
"2021","紐新",27.50,-0.50,27.80,27.40,3886
"2022","聚亨",20.80,0.20,21.00,20.40,1435
"2023","燁輝",29.40,-0.20,29.90,29.30,1743
"2024","志聯",89.00,-4.00,92.00,89.00,490
"2025","千興",18.20,-0.40,18.60,18.20,579
"2026","新泰伸",39.80,-0.70,40.50,39.60,701
"2027","大成鋼",24.90,0.20,25.00,24.60,344
"2028","威致",29.10,-1.50,30.60,28.80,4555
"2029","盛餘",39.80,-0.30,40.10,39.60,933
"2101","南港",133.00,0.00,136.00,130.00,330
"2102","泰豐",57.50,-0.50,58.50,57.50,929
"2103","台橡",33.20,0.00,33.50,33.20,983
"2104","中橡",38.20,-0.50,38.40,37.80,866
"2105","正新",65.00,0.50,66.50,64.00,10845
"2106","建大",67.50,0.50,69.00,66.00,2741
"2107","厚生",40.60,-0.40,40.90,40.10,899
"2108","南帝",22.80,-0.30,23.00,22.50,515
"2201","裕隆",60.50,-0.50,60.50,59.00,3755
"2202","三富",11.05,-0.15,11.30,11.00,2461
"2204","中華",82.00,-1.00,82.00,81.00,2439
"2205","國產車",62.00,2.00,62.00,60.00,28676
"2206","三陽",68.00,0.00,68.00,67.50,142
"2207","和泰車",52.50,0.00,54.00,52.50,1954
"2301","光寶",146.00,-1.50,146.50,141.50,15213
"2302","麗正",38.50,0.00,38.50,35.20,674
"2303","聯電",127.00,-1.00,127.00,123.50,47267
"2304","誠洲",27.30,-0.40,27.70,27.10,4926
"2305","全友",59.00,-1.00,59.00,57.50,3035
"2306","宏電",86.00,-2.50,86.50,85.00,23327
"2307","濟業",29.80,1.00,30.80,28.30,619
"2308","台達電",193.00,7.00,193.00,182.00,17023
"2310","旭麗",96.50,-2.50,98.00,96.50,3601
"2311","日月光",136.50,-1.50,137.00,134.00,21701
"2312","金寶",49.60,-1.40,50.50,49.00,4901
"2313","華通",279.00,-3.00,280.00,272.00,6043
"2314","台揚",34.50,-0.80,35.00,34.00,1316
"2315","神達",41.90,-0.10,42.30,40.30,16098
"2316","楠梓",117.00,0.00,117.00,114.50,8418
"2317","鴻海",266.00,-4.00,266.00,256.00,11881
"2318","佳錄",38.20,-0.80,39.00,38.00,1658
"2319","大眾",73.50,-2.50,74.50,73.00,5320
"2320","中強",40.40,1.20,40.40,38.30,19883
"2321","東訊",48.90,-1.10,49.60,48.90,1528
"2322","致福",58.50,-1.50,59.00,57.50,7782
"2323","中環",91.00,2.50,91.00,86.50,13706
"2324","仁寶",139.50,-2.50,140.00,137.50,8854
"2325","矽品",122.00,0.00,122.00,115.00,8677
"2326","亞瑟",89.00,0.00,90.50,88.50,11981
"2327","國巨",128.00,0.00,128.00,120.50,23403
"2328","廣宇",103.50,-1.50,105.00,103.50,749
"2329","華泰",92.00,-2.00,92.50,90.50,10836
"2330","臺積電",152.00,0.00,152.00,148.00,63181
"2331","精英",54.00,0.00,54.00,52.00,2470
"2332","友訊",69.50,-1.50,70.50,69.00,2091
"2333","碧悠",25.10,-0.50,25.50,25.00,4387
"2334","國豐",56.00,-2.00,57.00,55.50,3132
"2335","清三",41.30,-1.70,42.40,41.20,343
"2336","致伸",114.00,-0.50,114.50,110.50,7671
"2337","旺宏",68.00,1.00,69.50,66.00,103130
"2338","光罩",208.00,6.00,209.00,198.00,8485
"2339","合泰",65.50,-2.00,66.50,65.00,8711
"2340","光磊",107.50,-1.00,107.50,103.50,5848
"2341","英群",43.10,-1.70,44.60,41.70,1399
"2342","茂矽",59.00,-1.00,59.00,57.50,23773
"2343","精業",73.00,-2.00,74.00,72.50,1421
"2344","華邦電",67.50,-1.50,68.00,66.50,37429
"2345","智邦",103.00,-3.00,105.00,102.00,1851
"2346","源興",84.50,-1.50,85.00,83.00,3641
"2347","聯強",291.00,-6.00,294.00,289.00,5157
"2348","力捷",180.00,-5.00,184.00,180.00,4201
"2349","錸德",229.00,-3.00,232.00,225.00,7651
"2350","環隆",148.50,-1.00,149.00,146.00,2436
"2351","順德",65.00,-2.00,66.00,65.00,1445
"2352","明碁",72.50,-2.50,73.00,72.00,3397
"2353","宏科",93.00,-4.00,96.00,93.00,1951
"2354","華升",43.30,-0.40,43.70,42.20,4262
"2355","敬鵬",134.00,-2.00,135.00,131.50,1962
"2356","英業達",224.00,-3.00,224.00,220.00,6751
"2357","華碩",590.00,-8.00,594.00,585.00,1825
"2358","美格",35.20,-0.80,35.80,35.00,3509
"2359","所羅門",89.00,0.00,89.00,85.00,2663
"2360","致茂",108.50,-3.50,112.00,107.00,640
"2361","鴻友",86.50,1.50,86.50,82.00,2658
"2362","藍天",137.00,-2.50,139.00,136.00,997
"2363","矽統",69.50,-2.50,71.00,69.00,2633
"2364","倫飛電腦",100.00,0.00,100.00,100.00,7891
"2501","國建",48.50,0.50,49.00,47.80,5567
"2504","國產",25.00,0.40,25.10,24.40,23880
"2505","國揚",67.00,0.00,68.00,67.00,1742
"2506","太設",26.20,0.40,26.50,25.80,9990
"2509","保固",40.30,-0.40,41.20,40.20,246
"2511","太子建",27.60,-0.30,28.30,27.50,2953
"2512","寶建",24.30,-0.40,25.20,24.30,5523
"2513","潤建",19.90,0.00,20.40,19.80,3222
"2514","龍邦",41.20,-0.50,42.50,41.00,1665
"2515","中工",38.80,-0.80,40.60,38.60,59148
"2516","新建",20.20,0.20,20.20,19.40,1493
"2517","長谷",22.00,-0.30,22.60,22.00,3287
"2518","長億",34.00,-0.30,34.70,34.00,6473
"2519","宏福",34.90,0.30,35.00,34.10,3330
"2520","冠德",67.00,-2.00,70.50,67.00,979
"2521","宏總",21.00,0.20,21.20,20.60,1702
"2522","啟阜",57.50,-1.00,59.50,56.50,2679
"2523","德寶",43.50,0.10,44.50,42.90,8981
"2524","緯城",19.80,0.20,20.10,19.60,896
"2525","寶祥",25.50,-0.20,26.40,25.40,6835
"2526","大陸",42.00,0.70,42.00,40.60,1742
"2527","宏璟",39.60,-0.20,40.50,39.00,918
"2528","皇普",40.70,-0.50,41.90,40.00,2293
"2529","仁翔",21.60,-0.80,22.80,21.60,465
"2530","華建",48.40,1.30,48.60,46.60,5910
"2531","三采",66.00,-0.50,67.00,65.00,1145
"2532","尖美",50.50,0.60,50.50,49.50,3207
"2533","昱成",81.00,1.50,81.00,78.00,2638
"2534","宏盛",54.50,-0.50,56.50,54.50,1278
"2535","達欣工",40.00,-0.20,41.00,39.30,6024
"2536","宏普",60.00,-0.50,61.50,59.00,1086
"2537","春池",29.30,-0.20,30.20,29.20,1713
"2538","基泰",63.00,-1.00,64.50,62.50,1594
"2601","益航",17.50,0.10,17.80,17.50,3200
"2603","長榮",40.50,0.00,41.30,40.50,2990
"2604","立榮",44.40,0.60,45.20,44.10,2058
"2605","新興",20.90,0.20,21.40,20.80,3784
"2606","裕民航",22.20,0.10,22.70,22.00,1699
"2607","榮運",54.50,0.00,56.00,54.00,737
"2608","大榮",45.70,-1.10,47.00,45.70,1309
"2609","陽明",28.20,0.20,28.50,28.00,5895
"2610","華航",39.10,1.10,39.30,38.00,21823
"2611","志信",20.40,0.00,20.50,20.30,125
"2612","偉運",27.00,-0.20,27.60,27.00,733
"2613","中櫃",52.50,0.00,53.50,52.50,201
"2614","遠倉",24.40,0.00,24.40,24.00,2868
